Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match
best cloud gpu,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,best cloud gpu,en,2124,exact
game,1.06,1.0,1.11,100,3.24,3.56,2.91,9.59,10.55,8.64,31.08,34.18,27.97,58.44,64.29,52.6,game,en,2124,exact
benchmark,1.86,1.68,2.05,100,30.28,33.3,27.25,0.98,1.07,0.88,29.55,32.5,26.59,50.91,56.0,45.82,benchmark,en,2124,exact
concepts,1.35,1.21,1.48,100,5.3,5.83,4.77,0.2,0.22,0.18,1.04,1.14,0.93,1.36,1.49,1.22,concepts,en,2124,exact
publish,1.36,1.22,1.49,100,47.45,52.19,42.7,0.44,0.49,0.4,21.02,23.13,18.92,15.36,16.9,13.83,publish,en,2124,exact
gpu as a service,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gpu as a service,en,2124,exact
keras,1.85,1.66,2.03,100,63.31,69.65,56.98,0.13,0.14,0.12,8.2,9.02,7.38,10.09,11.1,9.08,keras,en,2124,exact
technology powering,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,technology powering,en,2124,exact
continued,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,continued,en,2124,exact
classes,1.06,1.0,1.11,100,17.66,19.42,15.89,0.07,0.08,0.06,1.25,1.38,1.13,3.16,3.48,2.85,classes,en,2124,exact
cnn,1.06,1.0,1.11,100,8.18,9.0,7.37,0.53,0.59,0.48,4.38,4.82,3.94,6.78,7.46,6.1,cnn,en,2124,exact
sets,1.06,1.0,1.11,100,15.03,16.53,13.53,0.01,0.01,0.01,0.1,0.11,0.09,0.9,0.99,0.81,sets,en,2124,exact
refer,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refer,en,2124,exact
capabilities features,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,capabilities features,en,2124,exact
advanced settings,1.06,1.0,1.11,100,2.96,3.25,2.66,0.08,0.09,0.07,0.25,0.27,0.22,0.45,0.5,0.41,advanced settings,en,2124,exact
manager,1.06,1.0,1.11,100,18.43,20.27,16.58,0.08,0.09,0.07,1.46,1.61,1.31,3.31,3.65,2.98,manager,en,2124,exact
ebooks,1.07,1.0,1.13,100,24.58,27.04,22.12,9.38,10.32,8.44,230.52,253.57,207.46,100.92,111.01,90.82,ebooks,en,2124,exact
challenges,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,challenges,en,2124,exact
best machine learning cloud,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,best machine learning cloud,en,2124,exact
rent virtual desktop,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rent virtual desktop,en,2124,exact
needs,1.06,1.0,1.11,100,6.52,7.17,5.86,0.03,0.03,0.02,0.18,0.19,0.16,0.45,0.5,0.41,needs,en,2124,exact
addressing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,addressing,en,2124,exact
research,1.06,1.0,1.11,100,12.37,13.6,11.13,0.13,0.15,0.12,1.66,1.82,1.49,4.52,4.97,4.07,research,en,2124,exact
finals,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finals,en,2124,exact
allowed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allowed,en,2124,exact
change,1.06,1.0,1.11,100,7.45,8.2,6.71,0.09,0.09,0.08,0.64,0.7,0.58,1.66,1.82,1.49,change,en,2124,exact
process enforce,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process enforce,en,2124,exact
mujoco,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujoco,en,2124,exact
arxivs,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arxivs,en,2124,exact
architectural,1.06,1.0,1.12,100,32.9,36.19,29.61,0.56,0.62,0.51,18.54,20.4,16.69,48.65,53.52,43.79,architectural,en,2124,exact
separate,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,separate,en,2124,exact
hardware,1.06,1.0,1.11,100,16.76,18.44,15.09,0.26,0.29,0.24,4.44,4.89,4.0,10.09,11.1,9.08,hardware,en,2124,exact
drives business,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drives business,en,2124,exact
technology detect,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,technology detect,en,2124,exact
takes,1.06,1.0,1.11,100,0.97,1.07,0.88,0.07,0.08,0.06,0.07,0.07,0.06,0.75,0.83,0.68,takes,en,2124,exact
opening shift,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,opening shift,en,2124,exact
feedback,1.06,1.0,1.11,100,3.44,3.78,3.1,0.21,0.23,0.19,0.73,0.81,0.66,4.67,5.14,4.2,feedback,en,2124,exact
copyright,1.06,1.0,1.12,100,13.65,15.01,12.28,2.64,2.9,2.37,36.02,39.62,32.41,72.45,79.69,65.2,copyright,en,2124,exact
neural networks,1.92,1.73,2.11,100,66.6,73.26,59.94,0.44,0.48,0.39,29.23,32.15,26.31,40.07,44.07,36.06,neural networks,en,2124,exact
initial,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,en,2124,exact
area optimization reason,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,area optimization reason,en,2124,exact
condensates,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,condensates,en,2124,exact
outputted,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputted,en,2124,exact
generalize,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,generalize,en,2124,exact
computing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computing,en,2124,exact
reading self,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reading self,en,2124,exact
econometric,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,econometric,en,2124,exact
note,1.06,1.0,1.11,100,14.25,15.68,12.83,0.02,0.02,0.02,0.28,0.31,0.25,0.9,0.99,0.81,note,en,2124,exact
management website,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,management website,en,2124,exact
users design,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,users design,en,2124,exact
structures algorithms,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,structures algorithms,en,2124,exact
simple generative adversarial,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple generative adversarial,en,2124,exact
paperspace paypal,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace paypal,en,2124,exact
machine learning cloud platform,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,machine learning cloud platform,en,2124,exact
quilt reproducible machine learning pytorch,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quilt reproducible machine learning pytorch,en,2124,exact
collaborate remotely,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,collaborate remotely,en,2124,exact
collectively,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,collectively,en,2124,exact
members,1.06,1.0,1.11,100,1.61,1.77,1.44,0.11,0.12,0.1,0.17,0.19,0.16,1.36,1.49,1.22,members,en,2124,exact
eigenvectors,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eigenvectors,en,2124,exact
generalization,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,generalization,en,2124,exact
figures,1.06,1.0,1.11,100,16.55,18.21,14.9,0.13,0.14,0.12,2.13,2.34,1.92,2.41,2.65,2.17,figures,en,2124,exact
series,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,series,en,2124,exact
beginner,1.06,1.0,1.11,100,3.79,4.17,3.41,0.02,0.02,0.02,0.08,0.08,0.07,0.45,0.5,0.41,beginner,en,2124,exact
robust,1.06,1.0,1.11,100,8.22,9.04,7.39,0.09,0.1,0.08,0.73,0.8,0.65,0.9,0.99,0.81,robust,en,2124,exact
large,1.06,1.0,1.11,100,7.34,8.07,6.6,0.04,0.04,0.03,0.28,0.31,0.25,0.9,0.99,0.81,large,en,2124,exact
reproducible,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reproducible,en,2124,exact
publisher generous,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,publisher generous,en,2124,exact
kernels,1.06,1.0,1.11,100,4.4,4.84,3.96,0.02,0.02,0.02,0.1,0.1,0.09,0.45,0.5,0.41,kernels,en,2124,exact
wildcard,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wildcard,en,2124,exact
development,1.06,1.0,1.11,100,4.99,5.49,4.49,0.09,0.1,0.08,0.47,0.51,0.42,1.66,1.82,1.49,development,en,2124,exact
precision,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,precision,en,2124,exact
works,1.06,1.0,1.11,100,12.66,13.93,11.4,0.1,0.12,0.09,1.33,1.46,1.2,2.11,2.32,1.9,works,en,2124,exact
reproducibility,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reproducibility,en,2124,exact
paintings textures,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paintings textures,en,2124,exact
developing comparing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,developing comparing,en,2124,exact
operators,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,operators,en,2124,exact
multinode,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multinode,en,2124,exact
packages,1.06,1.0,1.11,100,8.56,9.42,7.71,0.25,0.27,0.22,2.13,2.34,1.91,4.22,4.64,3.8,packages,en,2124,exact
entire single,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,entire single,en,2124,exact
resulting,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resulting,en,2124,exact
matches,1.24,1.12,1.37,100,44.69,49.16,40.22,12.16,13.38,10.95,543.48,597.83,489.14,115.23,126.75,103.7,matches,en,2124,exact
looked,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,looked,en,2124,exact
believe,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,believe,en,2124,exact
demanded,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demanded,en,2124,exact
resulting mechanisms,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resulting mechanisms,en,2124,exact
optimizing parameters,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimizing parameters,en,2124,exact
true,1.06,1.0,1.11,100,16.49,18.14,14.84,0.06,0.06,0.05,0.91,1.0,0.82,2.11,2.32,1.9,true,en,2124,exact
orders,1.06,1.0,1.11,100,2.72,3.0,2.45,0.02,0.02,0.02,0.05,0.05,0.04,0.45,0.5,0.41,orders,en,2124,exact
deep learning cloud service,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deep learning cloud service,en,2124,exact
products inputs,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,products inputs,en,2124,exact
methods applied natural,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,methods applied natural,en,2124,exact
creates,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,creates,en,2124,exact
cooperative,1.18,1.06,1.3,100,49.57,54.53,44.62,0.09,0.1,0.08,4.45,4.9,4.01,3.46,3.81,3.12,cooperative,en,2124,exact
apr,1.06,1.0,1.11,100,36.6,40.26,32.94,0.01,0.02,0.01,0.53,0.58,0.47,0.45,0.5,0.41,apr,en,2124,exact
computational type,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computational type,en,2124,exact
experiences,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,experiences,en,2124,exact
gradients choosing right,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gradients choosing right,en,2124,exact
dillon,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dillon,en,2124,exact
structured products,1.78,1.6,1.96,100,65.16,71.67,58.64,0.04,0.04,0.03,2.29,2.52,2.06,3.01,3.31,2.71,structured products,en,2124,exact
developer,1.82,1.64,2.01,100,63.34,69.68,57.01,0.18,0.19,0.16,11.21,12.33,10.09,23.5,25.85,21.15,developer,en,2124,exact
corresponding,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,corresponding,en,2124,exact
best cloud service for deep learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,best cloud service for deep learning,en,2124,exact
classifies,1.06,1.0,1.11,100,3.59,3.94,3.23,0.09,0.1,0.08,0.33,0.37,0.3,1.36,1.49,1.22,classifies,en,2124,exact
updated response,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,updated response,en,2124,exact
called,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,called,en,2124,exact
response,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,response,en,2124,exact
theories applies,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,theories applies,en,2124,exact
requests,1.06,1.0,1.11,100,2.04,2.25,1.84,0.02,0.02,0.02,0.05,0.05,0.04,0.45,0.5,0.41,requests,en,2124,exact
consistency,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,consistency,en,2124,exact
architectures,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,architectures,en,2124,exact
playing,1.06,1.0,1.11,100,4.61,5.07,4.15,0.01,0.01,0.01,0.04,0.04,0.04,0.45,0.5,0.41,playing,en,2124,exact
install,1.06,1.0,1.11,100,10.92,12.01,9.83,0.27,0.3,0.24,2.96,3.25,2.66,5.12,5.63,4.61,install,en,2124,exact
help create,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,help create,en,2124,exact
basically,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,basically,en,2124,exact
paperspace ai,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace ai,en,2124,exact
pca diving,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pca diving,en,2124,exact
best cloud service for machine learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,best cloud service for machine learning,en,2124,exact
terms performance,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,terms performance,en,2124,exact
discuss,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,discuss,en,2124,exact
problem,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,problem,en,2124,exact
rates,1.07,1.0,1.14,100,15.83,17.41,14.24,0.51,0.57,0.46,8.14,8.95,7.32,13.56,14.91,12.2,rates,en,2124,exact
engineers researchers,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,engineers researchers,en,2124,exact
references,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,references,en,2124,exact
paperspace uk,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace uk,en,2124,exact
logic,1.06,1.0,1.11,100,20.25,22.27,18.22,3.18,3.5,2.86,64.39,70.83,57.95,152.58,167.84,137.32,logic,en,2124,exact
engineer,1.08,1.0,1.16,100,42.33,46.57,38.1,0.11,0.12,0.09,4.46,4.91,4.02,9.64,10.6,8.68,engineer,en,2124,exact
lets,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lets,en,2124,exact
scientist,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scientist,en,2124,exact
rmarkdown,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rmarkdown,en,2124,exact
applications scale fast,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,applications scale fast,en,2124,exact
sharing,1.06,1.0,1.11,100,3.38,3.72,3.05,0.02,0.02,0.01,0.05,0.06,0.05,0.45,0.5,0.41,sharing,en,2124,exact
cover,1.06,1.0,1.11,100,13.82,15.2,12.44,0.28,0.31,0.25,3.88,4.27,3.49,3.77,4.14,3.39,cover,en,2124,exact
time starting,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time starting,en,2124,exact
announced,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,announced,en,2124,exact
derivatives starts,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,derivatives starts,en,2124,exact
contributions,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contributions,en,2124,exact
embedding,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,embedding,en,2124,exact
solving problem,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,solving problem,en,2124,exact
transform,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transform,en,2124,exact
isomap,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,isomap,en,2124,exact
free trial gpu cloud,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,free trial gpu cloud,en,2124,exact
notes,1.06,1.0,1.11,100,9.75,10.73,8.78,3.0,3.29,2.7,29.21,32.13,26.29,31.63,34.79,28.47,notes,en,2124,exact
cloud pc,3.57,3.21,3.93,100,51.11,56.22,46.0,0.04,0.05,0.04,2.16,2.38,1.94,2.26,2.49,2.03,cloud pc,en,2124,exact
monitor,1.06,1.0,1.13,100,21.56,23.72,19.41,2.27,2.5,2.04,48.91,53.8,44.02,48.05,52.85,43.24,monitor,en,2124,exact
practices,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,practices,en,2124,exact
learning,1.06,1.0,1.11,100,22.35,24.58,20.11,0.55,0.6,0.49,12.22,13.44,11.0,11.75,12.92,10.57,learning,en,2124,exact
left,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,en,2124,exact
what is cloud machine learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,what is cloud machine learning,en,2124,exact
engineer researcher,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,engineer researcher,en,2124,exact
discusses,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,discusses,en,2124,exact
container,1.07,1.0,1.14,100,20.45,22.5,18.41,0.86,0.94,0.77,17.56,19.32,15.8,30.58,33.63,27.52,container,en,2124,exact
companies,1.06,1.0,1.11,100,10.92,12.01,9.83,0.08,0.09,0.07,0.86,0.94,0.77,1.66,1.82,1.49,companies,en,2124,exact
desktops,1.26,1.14,1.39,100,5.56,6.12,5.01,0.13,0.14,0.11,0.7,0.77,0.63,1.81,1.99,1.63,desktops,en,2124,exact
distribution liability relating user,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,distribution liability relating user,en,2124,exact
virtualization,1.41,1.27,1.55,100,63.44,69.78,57.09,0.14,0.15,0.12,8.81,9.69,7.93,16.87,18.56,15.18,virtualization,en,2124,exact
variational,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,variational,en,2124,exact
load testing,1.72,1.55,1.89,100,71.94,79.14,64.75,0.1,0.11,0.09,7.26,7.98,6.53,6.63,7.29,5.96,load testing,en,2124,exact
pattern example,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pattern example,en,2124,exact
important security,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,important security,en,2124,exact
google free gpu for deep learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google free gpu for deep learning,en,2124,exact
online gpu server,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,online gpu server,en,2124,exact
deep learning in cloud,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deep learning in cloud,en,2124,exact
tutorial vectorization,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tutorial vectorization,en,2124,exact
language natural,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,language natural,en,2124,exact
maximizes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,maximizes,en,2124,exact
labels,1.3,1.17,1.43,100,47.2,51.92,42.48,3.16,3.48,2.85,149.33,164.26,134.39,97.3,107.03,87.57,labels,en,2124,exact
recently product,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recently product,en,2124,exact
personalized emails promotional,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,personalized emails promotional,en,2124,exact
announcement date,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,announcement date,en,2124,exact
losses,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,losses,en,2124,exact
covering,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,covering,en,2124,exact
leads,1.08,1.0,1.16,100,26.11,28.72,23.5,0.18,0.2,0.16,4.73,5.21,4.26,9.34,10.27,8.4,leads,en,2124,exact
bring,1.06,1.0,1.11,100,3.3,3.63,2.97,0.05,0.05,0.04,0.15,0.17,0.14,0.45,0.5,0.41,bring,en,2124,exact
executed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,executed,en,2124,exact
searches,1.06,1.0,1.11,100,3.13,3.44,2.82,0.07,0.08,0.06,0.22,0.24,0.2,1.36,1.49,1.22,searches,en,2124,exact
effect,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,effect,en,2124,exact
classification,1.06,1.0,1.11,100,35.0,38.51,31.5,0.0,0.0,0.0,0.15,0.17,0.14,0.45,0.5,0.41,classification,en,2124,exact
workflow,2.93,2.64,3.22,100,66.51,73.16,59.86,0.47,0.52,0.42,31.19,34.31,28.07,55.43,60.97,49.89,workflow,en,2124,exact
gathered,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gathered,en,2124,exact
demand,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,demand,en,2124,exact
dimensions,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dimensions,en,2124,exact
tested,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tested,en,2124,exact
sponsors,1.06,1.0,1.11,100,5.22,5.75,4.7,0.06,0.06,0.05,0.31,0.34,0.28,1.2,1.33,1.08,sponsors,en,2124,exact
enables,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,enables,en,2124,exact
implements,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,implements,en,2124,exact
exercises,1.06,1.0,1.11,100,23.41,25.75,21.07,0.19,0.21,0.17,4.48,4.93,4.03,5.27,5.8,4.74,exercises,en,2124,exact
customize,1.06,1.0,1.11,100,13.9,15.29,12.51,0.59,0.64,0.53,8.13,8.95,7.32,10.24,11.27,9.22,customize,en,2124,exact
model public,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,model public,en,2124,exact
able,1.06,1.0,1.11,100,39.29,43.22,35.37,0.09,0.1,0.08,3.4,3.74,3.06,0.9,0.99,0.81,able,en,2124,exact
recent developments,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recent developments,en,2124,exact
aiops,4.85,4.36,5.33,100,46.88,51.57,42.19,0.03,0.03,0.02,1.19,1.31,1.07,3.46,3.81,3.12,aiops,en,2124,exact
